GeoID,State,ENH,EPDH,EMIDH
0400000US01,Alabama,2016448,2016448,59674
0400000US02,Alaska,274574,274574,88121
0400000US04,Arizona,2850377,2850377,74568
0400000US05,Arkansas,1216207,1216207,55432
0400000US06,California,13550586,13550586,91551
0400000US08,Colorado,2384584,2384584,89302
0400000US09,Connecticut,1433635,1433635,88429
0400000US10,Delaware,402334,402334,82174
0400000US11,District of Columbia,326970,326970,101027
0400000US12,Florida,8826394,8826394,69303
0400000US13,Georgia,4092467,4092467,72837
0400000US15,Hawaii,494827,494827,92458
0400000US16,Idaho,717151,717151,72785
0400000US17,Illinois,5056360,5056360,76708
0400000US18,Indiana,2726489,2726489,66785
0400000US19,Iowa,1330995,1330995,69588
0400000US20,Kansas,1175294,1175294,68925
0400000US21,Kentucky,1828680,1828680,59341
0400000US22,Louisiana,1816902,1816902,55416
0400000US23,Maine,605338,605338,69543
0400000US24,Maryland,2375984,2375984,94991
0400000US25,Massachusetts,2797776,2797776,94488
0400000US26,Michigan,4089794,4089794,66986
0400000US27,Minnesota,2322190,2322190,82338
0400000US28,Mississippi,1148340,1148340,52719
0400000US29,Missouri,2521832,2521832,64811
0400000US30,Montana,464072,464072,67631
0400000US31,Nebraska,803157,803157,69597
0400000US32,Nevada,1198356,1198356,72333
0400000US33,New Hampshire,557220,557220,89992
0400000US34,New Jersey,3516978,3516978,96346
0400000US35,New Mexico,848218,848218,59726
0400000US36,New York,7774308,7774308,79557
0400000US37,North Carolina,4299266,4299266,67481
0400000US38,North Dakota,331481,331481,71970
0400000US39,Ohio,4878206,4878206,65720
0400000US40,Oklahoma,1573180,1573180,59673
0400000US41,Oregon,1726340,1726340,75657
0400000US42,Pennsylvania,5294065,5294065,71798
0400000US44,Rhode Island,446688,446688,81854
0400000US45,South Carolina,2136080,2136080,64115
0400000US46,South Dakota,368300,368300,69728
0400000US47,Tennessee,2846684,2846684,65254
0400000US48,Texas,11087708,11087708,72284
0400000US49,Utah,1129660,1129660,89168
0400000US50,Vermont,277090,277090,73991
0400000US51,Virginia,3380607,3380607,85873
0400000US53,Washington,3079953,3079953,91306
0400000US54,West Virginia,736341,736341,54329
0400000US55,Wisconsin,2491121,2491121,70996
0400000US56,Wyoming,243321,243321,70042
0400000US72,Puerto Rico,1289311,1289311,24112